document,date,location
No-MM_N1086,1916-12,N/A
No-MM_N1087,1916%1917,N/A
No-MM_N1088,1916%1917,N/A
No-MM_N1089,1914%1915,N/A
No-MM_N1090,1916%1917,N/A
No-MM_N1091,1915-03,N/A
No-MM_N1092,1889-12-07,Paris
No-MM_N1093,1890-02-15,Saint-Cloud
No-MM_N1094,1890-05-06,N/A
No-MM_N1095,1891-01-31,Nice
No-MM_N1096,1891-04,N/A
No-MM_N1097,1894-09-29,N/A
No-MM_N1098,1894-09-29,Stockholm
No-MM_N1099,1894-12-17,Berlin
No-MM_N1100,1896-06,N/A
No-MM_N1101,1896-04-24,N/A
No-MM_N1102,1901-12-14,N/A
No-MM_N1103,1901-12,N/A
No-MM_N1104,1902-04-08,N/A
No-MM_N1105,1908-08-13,N/A
No-MM_N1106,1913-03-18,N/A
No-MM_N1107,1926-09-14,N/A
No-MM_N1108,1921-01-04,N/A
No-MM_N1109,1923-04,N/A
No-MM_N1110,1922-02-06,N/A
No-MM_N1111,1923-12-18,N/A
No-MM_N1113,1925-12-31,N/A
No-MM_N1114,1927-10,N/A
No-MM_N1115,1926-01,N/A
No-MM_N1116,1926-03-02,N/A
No-MM_N1117,1926-06-03,N/A
No-MM_N1119,1926-09-23,N/A
No-MM_N1120,1926-11-20,N/A
No-MM_N1121,1927-10,N/A
No-MM_N1122,1927-01-14,N/A
No-MM_N1123,1927-02-28,N/A
No-MM_N1124,1927-03-04,N/A
No-MM_N1125,1927-03-07,N/A
No-MM_N1126,1927-03-12,N/A
No-MM_N1127,1926%1927,N/A
No-MM_N1128,1927-04-25,N/A
No-MM_N1129,1927-10-01,N/A
No-MM_N1130,1927-10-19,N/A
No-MM_N1131,1927-11-10,N/A
No-MM_N1132,1927-10-27,Oslo
No-MM_N1133,1927-11-19,N/A
No-MM_N1134,1927-11-21,N/A
No-MM_N1135,1929-01,N/A
No-MM_N1136,1928-06-23,N/A
No-MM_N1138,1928-01-23,N/A
No-MM_N1139,1929-01,N/A
No-MM_N1140,1927-07,N/A
No-MM_N1141,1931-10-23,N/A
No-MM_N1142,1930-06,N/A
No-MM_N1143,1931-05,N/A
No-MM_N1144,1931-05-19,Oslo
No-MM_N1145,1931-05,N/A
No-MM_N1147,1930-06,N/A
No-MM_N1148,1932-11,N/A
No-MM_N1149,1932-04,N/A
No-MM_N1151,1932-12-12,N/A
No-MM_N1152,1926-11-08,N/A
No-MM_N1162,N/A,Oslo
No-MM_N1163,N/A,Oslo
No-MM_N1164,N/A,Oslo
No-MM_N1165,N/A,Oslo
No-MM_N1166,N/A,Göteborg
No-MM_N1167,N/A,Oslo
No-MM_N1171,1912-11-18,N/A
No-MM_N1179,N/A,Oslo
No-MM_N1187,N/A,Åsgårdstrand
No-MM_N1198,N/A,Oslo
No-MM_N1200,N/A,Oslo
No-MM_N1201,N/A,Oslo
No-MM_N1202,N/A,Oslo
No-MM_N1217,N/A,Oslo
No-MM_N1218,N/A,Oslo
No-MM_N1226,N/A,Oslo
No-MM_N1228,N/A,Oslo
No-MM_N1229,N/A,Oslo
No-MM_N1235,N/A,Oslo
No-MM_N1253,N/A,Oslo
No-MM_N1282,N/A,Oslo
No-MM_N1286,1931-10-14,N/A
No-MM_N1299,N/A,Oslo
No-MM_N1335,1927-10,N/A
No-MM_N1359,1927-11,N/A
No-MM_N1383,1927-10,N/A
No-MM_N1384,1924-01,N/A
No-MM_N1387,1922-09,N/A
No-MM_N1406,1914,N/A
No-MM_N1411,1929-01-10,N/A
No-MM_N1419,N/A,Oslo
No-MM_N1421,1892-02,Nice
No-MM_N1433,N/A,Oslo
No-MM_N1444,N/A,Oslo
No-MM_N1445,1932-06-15,N/A
No-MM_N1465,1929-01,N/A
No-MM_N1470,1929-01,N/A
No-MM_N1481,N/A,Oslo
No-MM_N1483,1930-06,N/A
No-MM_N1569,1906-12-17,N/A
No-MM_N1591,1916-05-18,N/A
No-MM_N1592,1914-01-17,N/A
No-MM_N1593,1914-08-25,N/A
No-MM_N1594,1914-02-28,N/A
No-MM_N1595,1915-10-18,N/A
No-MM_N1596,1917-09-05,N/A
No-MM_N1597,1917-02-06,N/A
No-MM_N1598,1918-06-14,N/A
No-MM_N1599,1921-12-20,Oslo
No-MM_N1600,1921-10,N/A
No-MM_N1601,1921-01,N/A
No-MM_N1602,1922-06-11,N/A
No-MM_N1603,1922-12-27,N/A
No-MM_N1604,1923-01-02,N/A
No-MM_N1605,1923-05-15,Zürich
No-MM_N1606,1925-01-20,N/A
No-MM_N1608,1925-12-23,N/A
No-MM_N1609,1925-01-20,N/A
No-MM_N1610,1915-10-15,N/A
No-MM_N1611,1915-10-17,N/A
No-MM_N1612,1922-09,N/A
No-MM_N1614,1915-05-04,N/A
No-MM_N1617,1928-12-12,Oslo
No-MM_N1646,1920-04,N/A
No-MM_N1649,N/A,Kragerø
No-MM_N1651,N/A,Oslo
No-MM_N1655,1910-12-21,Kragerø
No-MM_N1657,1929-04-26,Oslo
No-MM_N1658,N/A,Oslo
No-MM_N1659,1903-10,N/A
No-MM_N1661,1908-07-16,Warnemünde
No-MM_N1662,1908-08-14,Warnemünde
No-MM_N1663,1908-07-16,Warnemünde
No-MM_N1664,1930-07-24,Oslo
No-MM_N1665,1889-03,N/A
No-MM_N1666,1889-03,N/A
No-MM_N1667,1889-05,N/A
No-MM_N1668,1931,N/A
No-MM_N1669,1902-01,Berlin
No-MM_N1673,1919-12,N/A
No-MM_N1674,1929-06-16,Oslo
No-MM_N1675,1923-01,N/A
No-MM_N1676,1923-01-23,Oslo
No-MM_N1677,1921-01-03,Oslo
No-MM_N1682,N/A,Oslo
No-MM_N1683,1932-10-29,Åsgårdstrand
No-MM_N1684,N/A,Oslo
No-MM_N1685,1932-10-29,N/A
No-MM_N1697,1932-10,N/A
No-MM_N1709,1920-03-21,N/A
No-MM_N1710,1906-10,N/A
No-MM_N1715,1908-06,N/A
No-MM_N1716,1920-03-21,Oslo
No-MM_N1720,1896-08,N/A
No-MM_N1721,1896,N/A
No-MM_N1722,1896,N/A
No-MM_N1727,1906%1908,N/A
No-MM_N1728,1931%1933,N/A
No-MM_N1729,1931%1933,N/A
No-MM_N1730,1908-11,N/A
No-MM_N1731,N/A,Oslo
No-MM_N1760,1908,N/A
No-MM_N1761,1909-03,N/A
No-MM_N1762,N/A,Oslo
No-MM_N1763,N/A,Oslo
No-MM_N1764,N/A,Oslo
No-MM_N1766,N/A,Oslo
No-MM_N1774,N/A,Oslo
No-MM_N1784,1891-01,N/A
No-MM_N1790,N/A,Oslo
No-MM_N1792,N/A,Oslo
No-MM_N1797,1914-09,N/A
No-MM_N1798,1906-05-22,N/A
No-MM_N1802,1906-07,N/A
No-MM_N1803,1906-07,N/A
No-MM_N1805,1898%1899,N/A
No-MM_N1806,1899,N/A
No-MM_N1807,1899-04,N/A
No-MM_N1808,1899-04,N/A
No-MM_N1809,1899-04-22,Firenze
No-MM_N1810,1899,N/A
No-MM_N1811,1899-05,N/A
No-MM_N1812,1899,N/A
No-MM_N1813,1899-05-25,Paris
No-MM_N1814,1899-05-25,Paris
No-MM_N1815,1899-05,N/A
No-MM_N1816,1899-06,N/A
No-MM_N1817,1899,N/A
No-MM_N1818,1899,N/A
No-MM_N1819,1899,N/A
